# Comments start with a '#' which ignores the whole line
# Empty lines are OK (also ignored)
# Format: 
# !version [version]
# Then, lines like `"Airbus A300-600","AB6","A306","IFR","MP","ME"`
# Aircraft lines MUST have name and type in `"` and start with a `"`

!version 1

"Lockheed L-188 Electra","LOE","L188","IFR","MP","ME"
"McDonnell Douglas MD-11","M11","MD11","IFR","MP","ME"
"McDonnell Douglas MD-81","M81","MD81","IFR","MP","ME"
"McDonnell Douglas MD-82","M82","MD82","IFR","MP","ME"
"McDonnell Douglas MD-83","M83","MD83","IFR","MP","ME"
"McDonnell Douglas MD-87","M87","MD87","IFR","MP","ME"
"McDonnell Douglas MD-88","M88","MD88","IFR","MP","ME"
"McDonnell Douglas MD-90","M90","MD90","IFR","MP","ME"
"NAMC YS-11","YS1","YS11","IFR","MP","ME"
"Partenavia P.68","PN6","P68","IFR","SP","ME"
"Pilatus Britten-Norman BN-2A Mk III Trislander Single Pilot","BNT","TRIS","IFR","SP","ME"
"Pilatus Britten-Norman BN-2A Mk III Trislander","BNT","TRIS","IFR","MP","ME"
"Pilatus Britten-Norman BN-2A/B Islander","BNI","BN2P","IFR","SP","ME"
"Pilatus Britten-Norman BN-2A/B Islander MP","BNI","BN2P","IFR","MP","ME"
"Pilatus PC-12 Single Pilot","PL2","PC12","IFR","SP","SE"
"Pilatus PC-12","PL2","PC12","IFR","MP","SE"
"Pilatus PC-6 Turbo Porter","PL6","PC6T","IFR","SP","SE"
"Piper PA-28 (above 200 hp)",\N,"P28B","VFR","SP","SE"
"Piper PA-28 (up to 180 hp)",\N,"P28A","VFR","SP","SE"
"Piper PA-31 Navajo Single Pilot","PA2","PA31","IFR","SP","ME"
"Piper PA-31 Navajo","PA2","PA31","IFR","MP","ME"
"Piper PA-44 Seminole",\N,"PA44","IFR","SP","ME"
"Piper PA-46","PAG","PA46","IFR","SP","SE"
"Saab 2000","S20","SB20","IFR","MP","ME"
"Saab SF340A/B","SF3","SF34","IFR","MP","ME"
"Shorts SC-5 Belfast","SHB","BELF","IFR","MP","ME"
"Shorts SC-7 Skyvan Single Pilot","SHS","SC7","IFR","SP","ME"
"Shorts SC-7 Skyvan","SHS","SC7","IFR","MP","ME"
"Shorts SD.330","SH3","SH33","IFR","MP","ME"
"Shorts SD.360","SH6","SH36","IFR","MP","ME"
"Sukhoi Superjet 100-95","SU9","SU95","IFR","MP","ME"
"Tupolev Tu-134","TU3","T134","IFR","MP","ME"
"Tupolev Tu-144",\N,"T144","IFR","MP","ME"
"Tupolev Tu-154","TU5","T154","IFR","MP","ME"
"Tupolev Tu-204","T20","T204","IFR","MP","ME"
"Yakovlev Yak-40","YK4","YK40","IFR","MP","ME"
"Yakovlev Yak-42","YK2","YK42","IFR","MP","ME"
